id,Delta,Mean,DownSideRisk,ARZZ3,AUTM3,BBFI11B,BPNM4,BRCR11B,BRFS3,CESP6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,ECOR3,EZTC3,FEXC11B,FFTL4,HGRE11,HGTX3,HTMX11B,IDVL4,JHSF3,KLBN4,KNRI11,LIGT3,MPXE3,PRSV11,RDCD3,RNEW11,SAPR4,SSBR3,STBP11,UOLL4,USIM3
27,0.049159,0.165652,0.051913,0.004267,0.025175,0.014078,0.027825,0.015227,0.025366,0.037509,0.022254,0.044070,0.030065,0.022801,0.043641,0.039403,0.046130,0.044209,0.020608,0.020373,0.018416,0.053404,0.020517,0.037883,0.053426,0.033443,0.037408,0.029999,0.027853,0.019727,0.048860,0.032948,0.013097,0.042572,0.039881,0.007563
14,0.041151,0.151952,0.049834,0.011409,0.031590,0.020522,0.021373,0.014716,0.036250,0.039632,0.035808,0.031063,0.036531,0.035019,0.036327,0.044864,0.039196,0.048411,0.014261,0.021946,0.010399,0.045505,0.021027,0.039842,0.040626,0.040856,0.025711,0.026322,0.030006,0.021176,0.049734,0.013444,0.015036,0.043679,0.049136,0.008583
20,0.041322,0.152383,0.049727,0.019233,0.035060,0.029673,0.022293,0.009767,0.033967,0.031992,0.032053,0.035114,0.034483,0.030364,0.034280,0.050525,0.039762,0.036608,0.020132,0.034215,0.014749,0.051089,0.028685,0.029550,0.044666,0.042856,0.021530,0.024846,0.016487,0.023455,0.044512,0.016163,0.013853,0.036286,0.049629,0.012125
6,0.042997,0.150239,0.049472,0.014847,0.034716,0.023801,0.019846,0.013817,0.039362,0.037711,0.036749,0.029949,0.036252,0.035741,0.034646,0.046689,0.038719,0.045396,0.013685,0.025177,0.009083,0.046318,0.022126,0.037911,0.040319,0.042042,0.023518,0.024162,0.027856,0.020441,0.048391,0.012190,0.016102,0.042672,0.051380,0.008383
14,0.041151,0.151975,0.049848,0.011409,0.031590,0.020804,0.021373,0.014716,0.036250,0.039632,0.035808,0.031063,0.036531,0.035019,0.036329,0.044864,0.039196,0.048411,0.014261,0.021946,0.010399,0.045505,0.021027,0.039842,0.040626,0.040856,0.025711,0.026322,0.030006,0.021176,0.049734,0.013443,0.015036,0.043397,0.049136,0.008583
20,0.041322,0.153140,0.049841,0.019233,0.035060,0.029673,0.022293,0.009767,0.033967,0.031992,0.032053,0.035114,0.034483,0.030364,0.034280,0.050525,0.039762,0.036608,0.020132,0.033273,0.014749,0.051089,0.028685,0.029550,0.044666,0.042856,0.021530,0.024846,0.016487,0.023455,0.044512,0.017105,0.013853,0.036286,0.049629,0.012125
13,0.041852,0.152348,0.049951,0.018238,0.034629,0.028463,0.022404,0.010311,0.037012,0.032907,0.032616,0.035185,0.034501,0.030586,0.034336,0.050010,0.039505,0.037672,0.019768,0.032643,0.014294,0.050845,0.027817,0.030695,0.044232,0.042815,0.021722,0.024994,0.017908,0.023621,0.045149,0.015744,0.013671,0.037297,0.049419,0.008993
29,0.040726,0.151715,0.049383,0.017517,0.036921,0.027194,0.019630,0.012091,0.035607,0.033481,0.034227,0.027596,0.034517,0.031429,0.035218,0.049190,0.041310,0.040228,0.016565,0.030324,0.010245,0.050971,0.025393,0.033726,0.044003,0.043932,0.024110,0.023060,0.022805,0.020116,0.044859,0.015935,0.017639,0.038611,0.050908,0.010639
27,0.040907,0.154039,0.049954,0.017919,0.034414,0.028292,0.022522,0.010361,0.033306,0.032359,0.031315,0.035206,0.034146,0.029576,0.035290,0.049691,0.040488,0.037574,0.020049,0.032047,0.014690,0.051267,0.027816,0.030458,0.045520,0.041776,0.023116,0.025248,0.017857,0.023015,0.044666,0.018385,0.014208,0.037026,0.048851,0.011547
21,0.041080,0.151609,0.049353,0.017441,0.036342,0.027133,0.020060,0.011896,0.035462,0.033630,0.033976,0.031643,0.034510,0.031086,0.035247,0.049088,0.041382,0.040100,0.017068,0.030461,0.010889,0.051366,0.025642,0.033460,0.044056,0.040565,0.024108,0.023097,0.022265,0.020448,0.045034,0.016152,0.017149,0.038450,0.050508,0.010286
9,0.039263,0.152278,0.049505,0.016162,0.035270,0.026040,0.020788,0.012284,0.034460,0.033818,0.033319,0.033080,0.034569,0.030964,0.036175,0.049116,0.040190,0.041247,0.017451,0.029222,0.011139,0.049339,0.024935,0.034271,0.042853,0.040568,0.024638,0.024457,0.024379,0.021398,0.045213,0.016470,0.016595,0.039243,0.049804,0.010541
12,0.039539,0.152933,0.049866,0.017337,0.035207,0.027281,0.021874,0.011281,0.034685,0.034616,0.032029,0.034254,0.032794,0.029852,0.036193,0.048718,0.040651,0.038734,0.019157,0.030675,0.013337,0.049586,0.025958,0.032477,0.045375,0.041400,0.023521,0.024950,0.021162,0.023612,0.044340,0.017160,0.015746,0.036951,0.049039,0.010047
