id,Mean,Mean,SemiVar,ARZZ3,AUTM3,BBFI11B,BPNM4,BRCR11B,BRFS3,CESP6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,ECOR3,EZTC3,FEXC11B,FFTL4,HGRE11,HGTX3,HTMX11B,IDVL4,JHSF3,KLBN4,KNRI11,LIGT3,MPXE3,PRSV11,RDCD3,RNEW11,SAPR4,SSBR3,STBP11,UOLL4,USIM3
1,0.277258,0.277258,0.006822,0.000473,0.003516,0.095962,0.000000,0.000000,0.000999,0.000759,0.001197,0.066519,0.046490,0.011861,0.072399,0.008569,0.009186,0.049771,0.037361,0.003262,0.139341,0.000000,0.006042,0.056813,0.001495,0.000000,0.001340,0.064229,0.037829,0.000000,0.068797,0.133321,0.007266,0.007022,0.067271,0.000907
1,0.312256,0.312256,0.007953,0.000618,0.006433,0.111645,0.000000,0.000000,0.000992,0.000296,0.001659,0.065056,0.028201,0.009631,0.056056,0.005163,0.011281,0.036858,0.036886,0.002066,0.114299,0.000000,0.005671,0.072987,0.002010,0.000000,0.001147,0.064018,0.050898,0.000000,0.074826,0.175848,0.008065,0.006194,0.049689,0.001506
18,0.294260,0.294260,0.007112,0.000628,0.009779,0.092522,0.000001,0.000002,0.000776,0.000861,0.001433,0.037202,0.036045,0.017454,0.049799,0.009080,0.017024,0.062648,0.031970,0.006772,0.136025,0.000003,0.010805,0.037616,0.000990,0.000001,0.001687,0.093523,0.028218,0.000001,0.060127,0.143725,0.014968,0.004394,0.093010,0.000910
7,0.290887,0.290887,0.006719,0.000193,0.007170,0.072353,0.000000,0.000000,0.000638,0.000459,0.000691,0.051517,0.043321,0.036766,0.066860,0.009883,0.028287,0.038229,0.053429,0.007504,0.088546,0.000000,0.016376,0.035406,0.000751,0.000000,0.000698,0.050778,0.034641,0.000000,0.119615,0.156736,0.032547,0.007727,0.038681,0.000199
21,0.347631,0.347631,0.008362,0.000691,0.005856,0.094207,0.000000,0.000000,0.001017,0.000409,0.000722,0.041979,0.046028,0.010926,0.079109,0.007325,0.015214,0.035322,0.039277,0.003029,0.072907,0.000000,0.011247,0.039726,0.001295,0.000000,0.000715,0.071254,0.042031,0.000000,0.074729,0.229755,0.011192,0.003287,0.059239,0.001510
1,0.312256,0.312256,0.007953,0.000618,0.006433,0.111645,0.000000,0.000000,0.000992,0.000296,0.001659,0.065056,0.028201,0.009631,0.056056,0.005163,0.011281,0.036858,0.036886,0.002066,0.114299,0.000000,0.005671,0.072987,0.002010,0.000000,0.001147,0.064018,0.050898,0.000000,0.074826,0.175848,0.008065,0.006194,0.049689,0.001506
12,0.307349,0.307349,0.007751,0.000561,0.006536,0.107386,0.000000,0.000000,0.000909,0.000293,0.001502,0.066019,0.029972,0.010334,0.053576,0.005953,0.011572,0.043123,0.039017,0.002313,0.111640,0.000000,0.005851,0.073230,0.001812,0.000000,0.001052,0.062085,0.048286,0.000000,0.076545,0.169875,0.009399,0.006284,0.053520,0.001353
2,0.347631,0.347631,0.008362,0.000691,0.005856,0.094207,0.000000,0.000000,0.001017,0.000409,0.000722,0.041979,0.046028,0.010926,0.079109,0.007325,0.015214,0.035322,0.039277,0.003029,0.072907,0.000000,0.011247,0.039726,0.001295,0.000000,0.000715,0.071254,0.042031,0.000000,0.074729,0.229755,0.011192,0.003287,0.059239,0.001510
21,0.347631,0.347631,0.008362,0.000691,0.005856,0.094207,0.000000,0.000000,0.001017,0.000409,0.000722,0.041979,0.046028,0.010926,0.079109,0.007325,0.015214,0.035322,0.039277,0.003029,0.072907,0.000000,0.011247,0.039726,0.001295,0.000000,0.000715,0.071254,0.042031,0.000000,0.074729,0.229755,0.011192,0.003287,0.059239,0.001510
28,0.334828,0.334828,0.008161,0.000649,0.005905,0.134115,0.000000,0.000000,0.001100,0.000208,0.001656,0.060392,0.019381,0.008678,0.040196,0.005029,0.019432,0.054019,0.049046,0.003051,0.087453,0.000000,0.010066,0.031759,0.000652,0.000000,0.001157,0.038613,0.056083,0.000000,0.074144,0.220715,0.007314,0.006997,0.061344,0.000844
