id,Skewness,Mean,DownSideRisk,ARZZ3,AUTM3,BBFI11B,BPNM4,BRCR11B,BRFS3,CESP6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,ECOR3,EZTC3,FEXC11B,FFTL4,HGRE11,HGTX3,HTMX11B,IDVL4,JHSF3,KLBN4,KNRI11,LIGT3,MPXE3,PRSV11,RDCD3,RNEW11,SAPR4,SSBR3,STBP11,UOLL4,USIM3
25,0.000004,0.116223,0.038714,0.040302,0.000835,0.049903,0.000885,0.049231,0.005768,0.037936,0.077173,0.050247,0.064474,0.000513,0.077939,0.056979,0.071076,0.000739,0.049052,0.003446,0.000426,0.000379,0.021241,0.000000,0.070804,0.002397,0.043397,0.000569,0.002171,0.055800,0.000623,0.000813,0.000260,0.002932,0.092853,0.068836
7,0.000007,0.115358,0.038508,0.041959,0.000000,0.050714,0.000123,0.048353,0.000000,0.039081,0.081974,0.051206,0.065570,0.000000,0.082245,0.057527,0.071792,0.000000,0.049239,0.000025,0.000000,0.000000,0.017930,0.000000,0.072432,0.000000,0.043090,0.000000,0.000025,0.058585,0.000000,0.000025,0.000615,0.000000,0.094272,0.073219
20,0.000006,0.115850,0.038786,0.042074,0.001032,0.049937,0.000425,0.048358,0.000643,0.039342,0.080906,0.050748,0.064827,0.000291,0.081791,0.057487,0.071274,0.000446,0.049401,0.000301,0.000527,0.000468,0.017821,0.000000,0.072553,0.000142,0.043246,0.000699,0.000782,0.058267,0.000275,0.000468,0.000000,0.003146,0.093157,0.069167
25,0.000004,0.116223,0.038714,0.040302,0.000835,0.049903,0.000885,0.049231,0.005768,0.037936,0.077173,0.050247,0.064474,0.000513,0.077939,0.056979,0.071076,0.000739,0.049052,0.003446,0.000426,0.000379,0.021241,0.000000,0.070804,0.002397,0.043397,0.000569,0.002171,0.055800,0.000623,0.000813,0.000260,0.002932,0.092853,0.068836
5,0.000013,0.116620,0.039732,0.038082,0.007162,0.046880,0.003235,0.052248,0.007287,0.042127,0.072893,0.049054,0.038979,0.002653,0.076122,0.055028,0.067727,0.001492,0.049414,0.003747,0.000388,0.003848,0.019153,0.000000,0.072563,0.003372,0.043183,0.001504,0.004937,0.075857,0.002662,0.000763,0.000251,0.003535,0.089166,0.064689
7,0.000007,0.115448,0.038529,0.041959,0.000000,0.050714,0.000148,0.048353,0.000000,0.039081,0.081163,0.051206,0.065570,0.000000,0.082245,0.057527,0.071792,0.000000,0.049239,0.000025,0.000000,0.000000,0.017930,0.000000,0.072432,0.000000,0.043090,0.000000,0.000025,0.058585,0.000000,0.000025,0.000615,0.000000,0.095059,0.073219
19,0.000006,0.115599,0.038553,0.041424,0.000188,0.050515,0.000346,0.048634,0.001794,0.038694,0.080519,0.050935,0.065276,0.000139,0.080901,0.057322,0.071524,0.000234,0.049245,0.001099,0.000096,0.000086,0.018999,0.000000,0.071901,0.000757,0.043176,0.000128,0.000653,0.057717,0.000178,0.000243,0.000543,0.000696,0.093903,0.072131
5,0.000013,0.116623,0.039733,0.038082,0.007162,0.046880,0.003235,0.052248,0.007287,0.042127,0.072893,0.049054,0.038979,0.002653,0.076122,0.055028,0.067727,0.001492,0.049414,0.003747,0.000388,0.003838,0.019153,0.000000,0.072563,0.003372,0.043183,0.001514,0.004937,0.075857,0.002662,0.000763,0.000251,0.003535,0.089166,0.064689
7,0.000007,0.115446,0.038527,0.041959,0.000000,0.050714,0.000148,0.048378,0.000000,0.039081,0.081163,0.051206,0.065570,0.000000,0.082245,0.057527,0.071792,0.000000,0.049239,0.000025,0.000000,0.000000,0.017930,0.000000,0.072432,0.000000,0.043090,0.000000,0.000025,0.058560,0.000000,0.000025,0.000615,0.000000,0.095059,0.073219
3,0.000006,0.115503,0.038548,0.041840,0.000213,0.050598,0.000165,0.048475,0.000221,0.038289,0.080912,0.051144,0.065498,0.000340,0.082057,0.057186,0.071658,0.000042,0.049255,0.000139,0.000006,0.000116,0.017969,0.000000,0.072434,0.000104,0.043091,0.000039,0.000181,0.058444,0.000085,0.000043,0.000606,0.000961,0.094889,0.072999
