id,HV,Mean,DownSideRisk,ARZZ3,AUTM3,BBFI11B,BPNM4,BRCR11B,BRFS3,CESP6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,ECOR3,EZTC3,FEXC11B,FFTL4,HGRE11,HGTX3,HTMX11B,IDVL4,JHSF3,KLBN4,KNRI11,LIGT3,MPXE3,PRSV11,RDCD3,RNEW11,SAPR4,SSBR3,STBP11,UOLL4,USIM3
17,481.072781,0.131175,0.042287,0.027388,0.013336,0.025219,0.008660,0.025605,0.052326,0.027901,0.049510,0.003193,0.037544,0.017509,0.037684,0.018297,0.055153,0.033737,0.053385,0.048358,0.009198,0.023725,0.055599,0.000000,0.037113,0.043711,0.048389,0.007487,0.039943,0.047878,0.031756,0.014350,0.027468,0.021974,0.015747,0.040858
21,481.072781,0.131175,0.042287,0.027388,0.013336,0.025219,0.008660,0.025605,0.052326,0.027901,0.049510,0.003193,0.037544,0.017509,0.037684,0.018297,0.055153,0.033737,0.053385,0.048358,0.009198,0.023725,0.055599,0.000000,0.037113,0.043711,0.048389,0.007487,0.039943,0.047878,0.031756,0.014350,0.027468,0.021974,0.015747,0.040858
18,481.072781,0.131175,0.042287,0.027388,0.013336,0.025219,0.008660,0.025605,0.052326,0.027901,0.049510,0.003193,0.037544,0.017509,0.037684,0.018297,0.055153,0.033737,0.053385,0.048358,0.009198,0.023725,0.055599,0.000000,0.037113,0.043711,0.048389,0.007487,0.039943,0.047878,0.031756,0.014350,0.027468,0.021974,0.015747,0.040858
7,481.072781,0.131175,0.042287,0.027388,0.013336,0.025219,0.008660,0.025605,0.052326,0.027901,0.049510,0.003193,0.037544,0.017509,0.037684,0.018297,0.055153,0.033737,0.053385,0.048358,0.009198,0.023725,0.055599,0.000000,0.037113,0.043711,0.048389,0.007487,0.039943,0.047878,0.031756,0.014350,0.027468,0.021974,0.015747,0.040858
24,485.479346,0.137642,0.043679,0.021761,0.015471,0.031212,0.012124,0.027274,0.053642,0.027017,0.042717,0.003558,0.039925,0.020501,0.043057,0.020308,0.053022,0.042053,0.042272,0.041402,0.010182,0.019938,0.044851,0.000000,0.026729,0.046022,0.052636,0.007313,0.034018,0.043713,0.042133,0.017459,0.029627,0.024218,0.020938,0.042907
21,481.072781,0.131175,0.042287,0.027388,0.013336,0.025219,0.008660,0.025605,0.052326,0.027901,0.049510,0.003193,0.037544,0.017509,0.037684,0.018297,0.055153,0.033737,0.053385,0.048358,0.009198,0.023725,0.055599,0.000000,0.037113,0.043711,0.048389,0.007487,0.039943,0.047878,0.031756,0.014350,0.027468,0.021974,0.015747,0.040858
18,481.072781,0.131175,0.042287,0.027388,0.013336,0.025219,0.008660,0.025605,0.052326,0.027901,0.049510,0.003193,0.037544,0.017509,0.037684,0.018297,0.055153,0.033737,0.053385,0.048358,0.009198,0.023725,0.055599,0.000000,0.037113,0.043711,0.048389,0.007487,0.039943,0.047878,0.031756,0.014350,0.027468,0.021974,0.015747,0.040858
1,488.625405,0.136824,0.043499,0.022469,0.015203,0.030453,0.011685,0.027062,0.053478,0.027128,0.043577,0.003511,0.039625,0.020122,0.042386,0.020054,0.053291,0.041005,0.043674,0.042273,0.010054,0.020412,0.046210,0.000000,0.028041,0.045737,0.052101,0.007337,0.034761,0.044240,0.040822,0.017065,0.029355,0.023938,0.020282,0.042649
25,488.083369,0.134502,0.042995,0.024477,0.014441,0.028299,0.010440,0.026460,0.053013,0.027446,0.046017,0.003376,0.038774,0.019047,0.040481,0.019332,0.054055,0.038029,0.047654,0.044747,0.009691,0.021759,0.050068,0.000000,0.031762,0.044929,0.050582,0.007407,0.036872,0.045733,0.037101,0.015944,0.028583,0.023144,0.018419,0.041917
2,487.899421,0.134309,0.042953,0.024644,0.014378,0.028120,0.010336,0.026410,0.052975,0.027472,0.046220,0.003365,0.038703,0.018957,0.040323,0.019272,0.054119,0.037782,0.047985,0.044953,0.009660,0.021871,0.050389,0.000000,0.032072,0.044862,0.050456,0.007413,0.037047,0.045857,0.036791,0.015851,0.028519,0.023078,0.018264,0.041856
