id,SemiVar,Mean,SemiVar,ARZZ3,AUTM3,BBFI11B,BPNM4,BRCR11B,BRFS3,CESP6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,ECOR3,EZTC3,FEXC11B,FFTL4,HGRE11,HGTX3,HTMX11B,IDVL4,JHSF3,KLBN4,KNRI11,LIGT3,MPXE3,PRSV11,RDCD3,RNEW11,SAPR4,SSBR3,STBP11,UOLL4,USIM3
id,SemiVar,Mean,SemiVar,ARZZ3,AUTM3,BBFI11B,BPNM4,BRCR11B,BRFS3,CESP6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,ECOR3,EZTC3,FEXC11B,FFTL4,HGRE11,HGTX3,HTMX11B,IDVL4,JHSF3,KLBN4,KNRI11,LIGT3,MPXE3,PRSV11,RDCD3,RNEW11,SAPR4,SSBR3,STBP11,UOLL4,USIM3
4,0.001727,0.118169,0.001727,0.085758,0.020751,0.002699,0.028633,0.095379,0.002805,0.079385,0.061124,0.005896,0.050558,0.015191,0.004551,0.062582,0.082474,0.008388,0.012096,0.067667,0.029819,0.020656,0.051184,0.005769,0.053851,0.004190,0.018176,0.036240,0.023442,0.005640,0.000000,0.000000,0.051960,0.010104,0.002391,0.000642
19,0.001694,0.118130,0.001694,0.086680,0.010518,0.000506,0.026117,0.081705,0.000510,0.063788,0.050744,0.018623,0.050676,0.028298,0.001104,0.052198,0.081529,0.019401,0.022255,0.081250,0.025068,0.020898,0.041468,0.013338,0.043014,0.000793,0.031377,0.033356,0.030621,0.001222,0.000087,0.000036,0.055541,0.023340,0.002010,0.001929
28,0.001711,0.119041,0.001711,0.084848,0.013654,0.000650,0.032167,0.075852,0.000660,0.059615,0.047247,0.022194,0.050595,0.032815,0.001430,0.048702,0.079175,0.022444,0.025817,0.080713,0.023200,0.017072,0.038740,0.015425,0.040136,0.001067,0.036406,0.030965,0.032380,0.001529,0.000113,0.000046,0.051190,0.028102,0.002604,0.002447
7,0.001711,0.119036,0.001711,0.084850,0.013653,0.000650,0.032166,0.075856,0.000660,0.059618,0.047179,0.022231,0.050595,0.032812,0.001430,0.048705,0.079176,0.022442,0.025814,0.080713,0.023203,0.017071,0.038742,0.015423,0.040138,0.001027,0.036402,0.030967,0.032378,0.001599,0.000113,0.000046,0.051193,0.028097,0.002603,0.002447
19,0.001705,0.118763,0.001705,0.086680,0.010518,0.000506,0.026117,0.072866,0.000510,0.063788,0.050744,0.018623,0.050676,0.028298,0.001104,0.052198,0.081529,0.019401,0.031094,0.081250,0.025068,0.020898,0.041468,0.013338,0.043014,0.000793,0.031377,0.033356,0.030621,0.001222,0.000087,0.000036,0.055541,0.023340,0.002010,0.001929
7,0.001711,0.119036,0.001711,0.084850,0.013653,0.000650,0.032166,0.075856,0.000660,0.059618,0.047179,0.022231,0.050595,0.032812,0.001430,0.048705,0.079176,0.022442,0.025814,0.080713,0.023203,0.017071,0.038742,0.015423,0.040138,0.001027,0.036402,0.030967,0.032378,0.001599,0.000113,0.000046,0.051193,0.028097,0.002603,0.002447
28,0.001713,0.119296,0.001713,0.084848,0.013654,0.000650,0.031781,0.075852,0.000660,0.059615,0.047247,0.022194,0.050595,0.032815,0.001430,0.048702,0.079175,0.022444,0.025817,0.080713,0.021098,0.017072,0.038740,0.015425,0.040136,0.001067,0.036406,0.030965,0.032380,0.001529,0.002601,0.000046,0.051190,0.028102,0.002604,0.002447
19,0.001704,0.118715,0.001704,0.086680,0.010518,0.000506,0.026117,0.072932,0.000684,0.063788,0.050744,0.018737,0.050676,0.028298,0.001104,0.052198,0.081529,0.019401,0.031094,0.081250,0.025068,0.020898,0.041468,0.013157,0.043014,0.000619,0.031377,0.033356,0.030621,0.001222,0.000087,0.000036,0.055541,0.023340,0.002010,0.001929
22,0.001706,0.118759,0.001706,0.086713,0.010612,0.000517,0.026079,0.073433,0.000512,0.063875,0.050805,0.018517,0.050657,0.028223,0.001127,0.052357,0.081563,0.019329,0.030574,0.081252,0.025138,0.020517,0.041483,0.013287,0.043001,0.000821,0.031291,0.033410,0.030574,0.001225,0.000092,0.000061,0.055833,0.023206,0.001986,0.001931
7,0.001711,0.119036,0.001711,0.084850,0.013653,0.000650,0.032166,0.075856,0.000660,0.059618,0.047179,0.022231,0.050595,0.032812,0.001430,0.048705,0.079176,0.022442,0.025814,0.080713,0.023203,0.017071,0.038742,0.015423,0.040138,0.001027,0.036402,0.030967,0.032378,0.001599,0.000113,0.000046,0.051193,0.028097,0.002603,0.002447
19,0.001704,0.118715,0.001704,0.086680,0.010518,0.000506,0.026117,0.072932,0.000684,0.063788,0.050744,0.018737,0.050676,0.028298,0.001104,0.052198,0.081529,0.019401,0.031094,0.081250,0.025068,0.020898,0.041468,0.013157,0.043014,0.000619,0.031377,0.033356,0.030621,0.001222,0.000087,0.000036,0.055541,0.023340,0.002010,0.001929
