id,Delta,Mean,DownSideRisk,ALMI11B,ARZZ3,AUTM3,BBFI11B,BEES3,BMIN4,BPNM4,BRCR11B,BRFS3,BRML3,BRTO4,BTTL4,CCPR3,CESP6,CLSC6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,CTIP3,DTCY3,ECOR3,EQTL3,EUCA4,EZTC3,FEXC11B,FFCI11,FFTL4,FHER3,FNAM11,FPAB11,HGRE11,HGTX3,HTMX11B,IMCH3,JHSF3,KNRI11,LIGT3,MPXE3,ODPV3,OHLB3,PMET6,PQDP11,PRSV11,RAIA3,RDCD3,RNEW11,SAPR4,SBSP3,SSBR3,STBP11,SULT4,TMAR5,TRXL11,UOLL4,USIM3
31,0.046793,0.090125,0.033413,0.010918,0.013209,0.011346,0.010139,0.030067,0.042923,0.010244,0.000000,0.000000,0.031127,0.012501,0.025841,0.025766,0.027057,0.000000,0.000000,0.000000,0.000000,0.010401,0.000000,0.000000,0.005904,0.046541,0.034978,0.031729,0.016204,0.001723,0.012455,0.008586,0.046793,0.010730,0.000000,0.000000,0.037588,0.032257,0.034141,0.014967,0.000000,0.028269,0.021501,0.030967,0.011601,0.000000,0.020502,0.041150,0.018432,0.022693,0.000000,0.022040,0.040017,0.042146,0.000000,0.004964,0.040498,0.009244,0.025934,0.023907
25,0.046793,0.090125,0.033413,0.010918,0.013209,0.011346,0.010139,0.030067,0.042923,0.010244,0.000000,0.000000,0.031127,0.012501,0.025841,0.025766,0.027057,0.000000,0.000000,0.000000,0.000000,0.010401,0.000000,0.000000,0.005904,0.046541,0.034978,0.031729,0.016204,0.001723,0.012455,0.008586,0.046793,0.010730,0.000000,0.000000,0.037588,0.032257,0.034141,0.014967,0.000000,0.028269,0.021501,0.030967,0.011601,0.000000,0.020502,0.041150,0.018432,0.022693,0.000000,0.022040,0.040017,0.042146,0.000000,0.004964,0.040498,0.009244,0.025934,0.023907
3,0.040797,0.084594,0.031524,0.003975,0.016452,0.003082,0.005562,0.036236,0.032735,0.004156,0.000000,0.000000,0.029164,0.007725,0.031307,0.030457,0.019356,0.000000,0.000000,0.000000,0.000000,0.016488,0.000000,0.000000,0.038702,0.033601,0.014179,0.021095,0.015500,0.023356,0.031939,0.016145,0.032137,0.023474,0.000000,0.000000,0.025055,0.040797,0.036463,0.014306,0.000000,0.030801,0.017811,0.039643,0.037498,0.000000,0.028927,0.014451,0.020179,0.031078,0.000000,0.029090,0.027103,0.026828,0.000000,0.011546,0.026631,0.021204,0.007812,0.025950
13,0.040797,0.084594,0.031524,0.003975,0.016452,0.003082,0.005562,0.036236,0.032735,0.004156,0.000000,0.000000,0.029164,0.007725,0.031307,0.030457,0.019356,0.000000,0.000000,0.000000,0.000000,0.016488,0.000000,0.000000,0.038702,0.033601,0.014179,0.021095,0.015500,0.023356,0.031939,0.016145,0.032137,0.023474,0.000000,0.000000,0.025055,0.040797,0.036463,0.014306,0.000000,0.030801,0.017811,0.039643,0.037498,0.000000,0.028927,0.014451,0.020179,0.031078,0.000000,0.029090,0.027103,0.026828,0.000000,0.011546,0.026631,0.021204,0.007812,0.025950
14,0.040797,0.084594,0.031524,0.003975,0.016452,0.003082,0.005562,0.036236,0.032735,0.004156,0.000000,0.000000,0.029164,0.007725,0.031307,0.030457,0.019356,0.000000,0.000000,0.000000,0.000000,0.016488,0.000000,0.000000,0.038702,0.033601,0.014179,0.021095,0.015500,0.023356,0.031939,0.016145,0.032137,0.023474,0.000000,0.000000,0.025055,0.040797,0.036463,0.014306,0.000000,0.030801,0.017811,0.039643,0.037498,0.000000,0.028927,0.014451,0.020179,0.031078,0.000000,0.029090,0.027103,0.026828,0.000000,0.011546,0.026631,0.021204,0.007812,0.025950
22,0.039620,0.093368,0.031792,0.003608,0.018941,0.012140,0.004622,0.007558,0.024602,0.013085,0.000000,0.008593,0.028237,0.038851,0.020511,0.022463,0.028839,0.000000,0.015601,0.000000,0.000000,0.031704,0.000000,0.000000,0.028017,0.029923,0.036974,0.009681,0.030348,0.021112,0.034115,0.010361,0.028842,0.013564,0.029875,0.000000,0.016752,0.025889,0.036412,0.011549,0.000000,0.030296,0.035570,0.030914,0.007028,0.007862,0.025102,0.029387,0.007597,0.029756,0.000000,0.018824,0.022627,0.015553,0.000000,0.006852,0.023213,0.009891,0.017137,0.039620
3,0.040797,0.084594,0.031524,0.003975,0.016452,0.003082,0.005562,0.036236,0.032735,0.004156,0.000000,0.000000,0.029164,0.007725,0.031307,0.030457,0.019356,0.000000,0.000000,0.000000,0.000000,0.016488,0.000000,0.000000,0.038702,0.033601,0.014179,0.021095,0.015500,0.023356,0.031939,0.016145,0.032137,0.023474,0.000000,0.000000,0.025055,0.040797,0.036463,0.014306,0.000000,0.030801,0.017811,0.039643,0.037498,0.000000,0.028927,0.014451,0.020179,0.031078,0.000000,0.029090,0.027103,0.026828,0.000000,0.011546,0.026631,0.021204,0.007812,0.025950
37,0.040797,0.084594,0.031524,0.003975,0.016452,0.003082,0.005562,0.036236,0.032735,0.004156,0.000000,0.000000,0.029164,0.007725,0.031307,0.030457,0.019356,0.000000,0.000000,0.000000,0.000000,0.016488,0.000000,0.000000,0.038702,0.033601,0.014179,0.021095,0.015500,0.023356,0.031939,0.016145,0.032137,0.023474,0.000000,0.000000,0.025055,0.040797,0.036463,0.014306,0.000000,0.030801,0.017811,0.039643,0.037498,0.000000,0.028927,0.014451,0.020179,0.031078,0.000000,0.029090,0.027103,0.026828,0.000000,0.011546,0.026631,0.021204,0.007812,0.025950
31,0.039347,0.091098,0.031262,0.003241,0.022200,0.004337,0.005388,0.026587,0.025921,0.012050,0.000000,0.003067,0.031316,0.008661,0.030050,0.021915,0.018533,0.000000,0.009497,0.000000,0.000000,0.028970,0.000000,0.000000,0.035999,0.035674,0.020319,0.019601,0.019584,0.031691,0.028152,0.020572,0.026063,0.023027,0.007700,0.000000,0.015784,0.039347,0.032503,0.010623,0.000000,0.038317,0.032152,0.032478,0.024421,0.000428,0.026953,0.014755,0.010609,0.024768,0.000000,0.027425,0.022271,0.019907,0.000000,0.009602,0.036485,0.024333,0.006287,0.030440
37,0.039347,0.091098,0.031262,0.003241,0.022200,0.004337,0.005388,0.026587,0.025921,0.012050,0.000000,0.003067,0.031316,0.008661,0.030050,0.021915,0.018533,0.000000,0.009497,0.000000,0.000000,0.028970,0.000000,0.000000,0.035999,0.035674,0.020319,0.019601,0.019584,0.031691,0.028152,0.020572,0.026063,0.023027,0.007700,0.000000,0.015784,0.039347,0.032503,0.010623,0.000000,0.038317,0.032152,0.032478,0.024421,0.000428,0.026953,0.014755,0.010609,0.024768,0.000000,0.027425,0.022271,0.019907,0.000000,0.009602,0.036485,0.024333,0.006287,0.030440
