id,HV,Mean,DownSideRisk,ALMI11B,ARZZ3,AUTM3,BBFI11B,BEES3,BMIN4,BPNM4,BRCR11B,BRFS3,BRML3,BRTO4,BTTL4,CCPR3,CESP6,CLSC6,CMIG3,CMIG4,COCE3,COCE5,CSMG3,CTIP3,DTCY3,ECOR3,EQTL3,EUCA4,EZTC3,FEXC11B,FFCI11,FFTL4,FHER3,FNAM11,FPAB11,HGRE11,HGTX3,HTMX11B,IMCH3,JHSF3,KNRI11,LIGT3,MPXE3,ODPV3,OHLB3,PMET6,PQDP11,PRSV11,RAIA3,RDCD3,RNEW11,SAPR4,SBSP3,SSBR3,STBP11,SULT4,TMAR5,TRXL11,UOLL4,USIM3
2,128.136147,0.074580,0.024093,0.051104,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000558,0.067591,0.000000,0.000000,0.045839,0.000000,0.000000,0.000308,0.000000,0.000000,0.035482,0.087018,0.000000,0.081595,0.000000,0.000000,0.047321,0.039299,0.073152,0.000000,0.000000,0.008306,0.041384,0.063706,0.000000,0.000000,0.000000,0.000000,0.048677,0.000182,0.000000,0.049827,0.000000,0.000000,0.000000,0.080421,0.000000,0.050853,0.000000,0.000000,0.000000,0.000000,0.000000,0.063238,0.000000,0.000000,0.000000,0.000000,0.064139
35,125.795305,0.077456,0.024607,0.051104,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.062259,0.000000,0.000000,0.051582,0.000000,0.000000,0.000000,0.000000,0.000000,0.035482,0.087018,0.000000,0.081595,0.000000,0.000000,0.047321,0.039481,0.073152,0.000000,0.000000,0.000000,0.041384,0.064264,0.000000,0.000000,0.000000,0.000000,0.048677,0.000000,0.000000,0.058134,0.001424,0.000000,0.000000,0.074678,0.000000,0.050853,0.000000,0.000000,0.000000,0.000000,0.000000,0.063546,0.000000,0.000000,0.003908,0.000000,0.064139
39,128.216838,0.074525,0.024077,0.051104,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.067591,0.000000,0.000000,0.045839,0.000000,0.000000,0.000308,0.000000,0.000000,0.035482,0.087018,0.000000,0.081595,0.000000,0.000000,0.047321,0.039481,0.073152,0.000000,0.000000,0.008306,0.041384,0.064264,0.000000,0.000000,0.000000,0.000000,0.048677,0.000000,0.000000,0.049827,0.000000,0.000000,0.000000,0.080421,0.000000,0.050853,0.000000,0.000000,0.000000,0.000000,0.000000,0.063238,0.000000,0.000000,0.000000,0.000000,0.064139
8,128.216838,0.074525,0.024077,0.051104,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.067591,0.000000,0.000000,0.045839,0.000000,0.000000,0.000308,0.000000,0.000000,0.035482,0.087018,0.000000,0.081595,0.000000,0.000000,0.047321,0.039481,0.073152,0.000000,0.000000,0.008306,0.041384,0.064264,0.000000,0.000000,0.000000,0.000000,0.048677,0.000000,0.000000,0.049827,0.000000,0.000000,0.000000,0.080421,0.000000,0.050853,0.000000,0.000000,0.000000,0.000000,0.000000,0.063238,0.000000,0.000000,0.000000,0.000000,0.064139
31,128.213283,0.074524,0.024077,0.051104,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.067591,0.000000,0.000000,0.045839,0.000000,0.000000,0.000308,0.000000,0.000000,0.035482,0.087018,0.000000,0.081595,0.000000,0.000000,0.047321,0.039481,0.073152,0.000000,0.000000,0.008306,0.041384,0.064264,0.000000,0.000000,0.000000,0.000000,0.048677,0.000000,0.000000,0.049827,0.000000,0.000000,0.000000,0.080319,0.000000,0.050853,0.000000,0.000000,0.000000,0.000000,0.000000,0.063238,0.000000,0.000000,0.000103,0.000000,0.064139
3,128.313183,0.074492,0.024058,0.051104,0.000729,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000558,0.067591,0.000000,0.000000,0.045839,0.000000,0.000000,0.000308,0.000000,0.000000,0.035482,0.087018,0.000000,0.081595,0.000000,0.000000,0.047321,0.039299,0.073060,0.000000,0.000000,0.008306,0.041384,0.063706,0.000000,0.000000,0.000000,0.000000,0.047947,0.000182,0.000000,0.049827,0.000000,0.000000,0.000000,0.080421,0.000000,0.050853,0.000000,0.000000,0.000000,0.000000,0.000000,0.063238,0.000091,0.000000,0.000000,0.000000,0.064139
30,128.216838,0.074525,0.024077,0.051104,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.067591,0.000000,0.000000,0.045839,0.000000,0.000000,0.000308,0.000000,0.000000,0.035482,0.087018,0.000000,0.081595,0.000000,0.000000,0.047321,0.039481,0.073152,0.000000,0.000000,0.008306,0.041384,0.064264,0.000000,0.000000,0.000000,0.000000,0.048677,0.000000,0.000000,0.049827,0.000000,0.000000,0.000000,0.080421,0.000000,0.050853,0.000000,0.000000,0.000000,0.000000,0.000000,0.063238,0.000000,0.000000,0.000000,0.000000,0.064139
13,128.216838,0.074525,0.024077,0.051104,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.067591,0.000000,0.000000,0.045839,0.000000,0.000000,0.000308,0.000000,0.000000,0.035482,0.087018,0.000000,0.081595,0.000000,0.000000,0.047321,0.039481,0.073152,0.000000,0.000000,0.008306,0.041384,0.064264,0.000000,0.000000,0.000000,0.000000,0.048677,0.000000,0.000000,0.049827,0.000000,0.000000,0.000000,0.080421,0.000000,0.050853,0.000000,0.000000,0.000000,0.000000,0.000000,0.063238,0.000000,0.000000,0.000000,0.000000,0.064139
12,128.315429,0.074491,0.024057,0.051104,0.000729,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000558,0.067591,0.000000,0.000000,0.045839,0.000000,0.000011,0.000308,0.000000,0.000000,0.035482,0.087018,0.000000,0.081595,0.000000,0.000000,0.047321,0.039299,0.073060,0.000000,0.000000,0.008306,0.041384,0.063706,0.000000,0.000000,0.000000,0.000000,0.047947,0.000182,0.000000,0.049827,0.000000,0.000000,0.000000,0.080421,0.000000,0.050853,0.000000,0.000000,0.000000,0.000000,0.000000,0.063227,0.000091,0.000000,0.000000,0.000000,0.064139
17,128.313183,0.074492,0.024058,0.051104,0.000729,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000558,0.067591,0.000000,0.000000,0.045839,0.000000,0.000000,0.000308,0.000000,0.000000,0.035482,0.087018,0.000000,0.081595,0.000000,0.000000,0.047321,0.039299,0.073060,0.000000,0.000000,0.008306,0.041384,0.063706,0.000000,0.000000,0.000000,0.000000,0.047947,0.000182,0.000000,0.049827,0.000000,0.000000,0.000000,0.080421,0.000000,0.050853,0.000000,0.000000,0.000000,0.000000,0.000000,0.063238,0.000091,0.000000,0.000000,0.000000,0.064139
39,128.313183,0.074492,0.024058,0.051104,0.000729,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000558,0.067591,0.000000,0.000000,0.045839,0.000000,0.000000,0.000308,0.000000,0.000000,0.035482,0.087018,0.000000,0.081595,0.000000,0.000000,0.047321,0.039299,0.073060,0.000000,0.000000,0.008306,0.041384,0.063706,0.000000,0.000000,0.000000,0.000000,0.047947,0.000182,0.000000,0.049827,0.000000,0.000000,0.000000,0.080421,0.000000,0.050853,0.000000,0.000000,0.000000,0.000000,0.000000,0.063238,0.000091,0.000000,0.000000,0.000000,0.064139
16,128.378307,0.074572,0.024047,0.050192,0.000729,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000558,0.067591,0.000000,0.000000,0.045839,0.000000,0.000000,0.000308,0.000000,0.000000,0.035482,0.087018,0.000000,0.081595,0.000000,0.000000,0.047321,0.039299,0.073060,0.000000,0.000000,0.008306,0.042296,0.063626,0.000000,0.000000,0.000000,0.000000,0.047947,0.000182,0.000000,0.049827,0.000000,0.000000,0.000000,0.080421,0.000000,0.050853,0.000000,0.000000,0.000000,0.000000,0.000000,0.063238,0.000171,0.000000,0.000000,0.000000,0.064139
8,128.343171,0.074435,0.024051,0.051104,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.067591,0.000000,0.000000,0.045839,0.000000,0.000000,0.000308,0.000000,0.000000,0.035482,0.087018,0.000000,0.081595,0.000000,0.000000,0.047321,0.039481,0.073425,0.000000,0.000000,0.008306,0.041384,0.064264,0.000000,0.000000,0.000000,0.000000,0.048677,0.000000,0.000000,0.049554,0.000000,0.000000,0.000000,0.080421,0.000000,0.050853,0.000000,0.000000,0.000000,0.000000,0.000000,0.063238,0.000000,0.000000,0.000000,0.000000,0.064139
